word,count,file
Mana,3,
nay:,3,
baslê,3,
bıbê.,3,
Rayê,3,
"mevacerê,",3,
bıkım?”,3,
işliga,3,
megerê,3,
"“Ma,",3,
raji,3,
"dera,",3,
qesan'a,3,
xırabiye,3,
"Levi,",3,
"İbrahimi,",3,
bıkı,3,
"berci,",3,
çhokanê,3,
"vecero,",3,
Celile.,3,
med,3,
pêxember,3,
cuzamı|Nêweşiya,3,
"ucay,",3,
bercerê,3,
vêrd,3,
wazenay?,3,
bıkiserê?,3,
Bımbarekê,3,
hetan,3,
nêwes,3,
adırê,3,
gına,3,
hazır.,3,
cıni|Cıni,3,
Cınan,3,
"zanenê,",3,
Sodır,3,
nêwast,3,
raverderê,3,
xavran,3,
"gırotenê,",3,
"qedenê,",3,
çhır,3,
işaret,3,
Yuhanna,3,
"golı,",3,
cuzamı,3,
rayibi|Rayib\w*,3,
rayibi,3,
xeberê,3,
weşiye,3,
sılxet,3,
“Urcı,3,
vergi,3,
"verda,",3,
"gênê,",3,
"sımıno,",3,
Dawudi,3,
şikiyenê,3,
ala,3,
vat.,3,
"vatenê,",3,
"Yaqub,",3,
"Yuhanna,",3,
"İskaryot,",3,
“Ğeji,3,
ey,3,
"wazeno,",3,
"wazenê,",3,
mederê,3,
zelıko,3,
"fındı,",3,
dana,3,
nêna,3,
"mordemi,",3,
‘Ya,3,
nêkenê?,3,
mando,3,
ban,3,
bani,3,
serdarê,3,
hewl,3,
tayêni,3,
Pilê,3,
"niyan,",3,
keno.”,3,
Gêra,3,
Sılxetiya,3,
meyit,3,
hermanê,3,
Laceko,3,
vaftiz\w*,3,
cınan|Cıni,3,
xelesnenê,3,
“Owo,3,
Nêweşiya,3,
cani,3,
Xeleşiyayenı,3,
nêvêreno,3,
variyetı,3,
pêxember\w*,3,
rusnenan.,3,
wasti,3,
nistê,3,
gunakarı,3,
gırotê.,3,
Perê,3,
bıderê.,3,
“Gorê,3,
"şüti,",3,
kena,3,
Cinıkê,3,
sonê,3,
nıngan,3,
çuçıkan,3,
wela,3,
qat,3,
genım,3,
rışiyê,3,
"sonê,",3,
inamê,3,
damis,3,
wertı.,3,
"pinê,",3,
"qayığı,",3,
mezelê,3,
kutê,3,
"mêrıki,",3,
vato.,3,
xozan,3,
"veciyay,",3,
bıkı.”,3,
“Mın,3,
nêşkina,3,
“Kêna,3,
"Petrus,",3,
Teber,3,
perı,3,
"nêwasti,",3,
Beytsayda,3,
Yan,3,
